,Country,Standardized Prevalence,Prevalence,iso_code
342,Seychelles,399.7,low (<400),SYC
344,Thailand,379.9,low (<400),THA
346,Timor-Leste,386.4,low (<400),TLS
348,Vietnam,406.9,medium (400-600),VNM
352,China,413.6,medium (400-600),CHN
354,North Korea,372.7,low (<400),PRK
356,Taiwan (Province of China),374.7,low (<400),TWN
360,American Samoa,418.7,medium (400-600),ASM
362,Federated States of Micronesia,378.4,low (<400),FSM
364,Fiji,388.6,low (<400),FJI
366,Guam,391.0,low (<400),GUM
368,Kiribati,375.7,low (<400),KIR
370,Marshall Islands,374.6,low (<400),MHL
372,Northern Mariana Islands,385.9,low (<400),MNP
374,Papua New Guinea,383.5,low (<400),PNG
376,Samoa,394.7,low (<400),WSM
378,Solomon Islands,373.1,low (<400),SLB
380,Tonga,409.2,medium (400-600),TON
382,Vanuatu,393.6,low (<400),VUT
386,Brunei,257.2,low (<400),BRN
388,Japan,230.7,low (<400),JPN
390,Singapore,278.7,low (<400),SGP
392,South Korea,264.3,low (<400),KOR
396,Canada,638.7,high (>600),CAN
398,Greenland,731.2,high (>600),GRL
400,United States,899.9,high (>600),USA
404,Andorra,586.0,medium (400-600),AND
406,Austria,777.5,high (>600),AUT
408,Belgium,583.8,medium (400-600),BEL
410,Cyprus,525.1,medium (400-600),CYP
412,Denmark,637.4,high (>600),DNK
414,Finland,700.2,high (>600),FIN
416,France,576.7,medium (400-600),FRA
418,Germany,604.7,high (>600),DEU
420,Greece,541.4,medium (400-600),GRC
422,Iceland,626.7,high (>600),ISL
424,Ireland,572.0,medium (400-600),IRL
426,Israel,536.8,medium (400-600),ISR
428,Italy,551.6,medium (400-600),ITA
430,Luxembourg,768.1,high (>600),LUX
432,Malta,606.3,high (>600),MLT
434,Netherlands,574.4,medium (400-600),NLD
436,Norway,700.0,high (>600),NOR
438,Portugal,405.9,medium (400-600),PRT
440,Spain,580.8,medium (400-600),ESP
442,Sweden,806.1,high (>600),SWE
444,Switzerland,458.8,medium (400-600),CHE
446,United Kingdom,720.9,high (>600),GBR
450,Australia,777.9,high (>600),AUS
452,New Zealand,915.4,high (>600),NZL
