"","49436004","prevalence_group","ISO","region","60621009"
"113",567.5,"medium (400-600)","MDA","Moldova",27.18
"114",524,"medium (400-600)","MNG","Mongolia",26.41
"115",594.9,"medium (400-600)","MNE","Montenegro",26.74
"116",329.2,"low (<400)","MAR","Morocco",26.13
"117",327.3,"low (<400)","MOZ","Mozambique",22.78
"118",376.2,"low (<400)","MMR","Myanmar",22.74
"119",347.9,"low (<400)","NAM","Namibia",24.3
"120",421.3,"medium (400-600)","NPL","Nepal",22.59
"121",574.4,"medium (400-600)","NLD","Netherlands",25.7
"122",915.4,"high (>600)","NZL","New Zealand",28.2
"123",527.2,"medium (400-600)","NIC","Nicaragua",27.41
"124",326.8,"low (<400)","NER","Niger",21.92
"125",364,"low (<400)","NGA","Nigeria",23.34
"126",372.7,"low (<400)","PRK","North Korea",24.22
"127",385.9,"low (<400)","MNP",NA,NA
"128",700,"high (>600)","NOR","Norway",26.85
"129",326.2,"low (<400)","OMN","Oman",26.49
"130",405.1,"medium (400-600)","PAK","Pakistan",24.11
"131",307.3,"low (<400)","PSE","Occupied Palestinian Territory",29.13
"132",518.1,"medium (400-600)","PAN","Panama",27.09
"133",383.5,"low (<400)","PNG","Papua New Guinea",25.7
"134",694.1,"high (>600)","PRY","Paraguay",26.92
"135",534.2,"medium (400-600)","PER","Peru",26.82
"136",371,"low (<400)","PHL","Philippines",23.25
"137",698.4,"high (>600)","POL","Poland",26.89
"138",405.9,"medium (400-600)","PRT","Portugal",25.79
"139",542.6,"medium (400-600)","PRI","Puerto Rico",28.57
"140",326.9,"low (<400)","QAT","Qatar",29.66
"141",506.1,"medium (400-600)","ROU","Romania",27.18
"142",571.5,"medium (400-600)","RUS","Russian Federation",26.34
"143",306.8,"low (<400)","RWA","Rwanda",22.02
"144",552.1,"medium (400-600)","LCA","Saint Lucia",30.21
"145",561.8,"medium (400-600)","VCT","Saint Vincent and the Grenadines",27.43
"146",394.7,"low (<400)","WSM","Samoa",32.48
"147",379.3,"low (<400)","STP","Sao Tome and Principe",24.87
"148",313.6,"low (<400)","SAU","Saudi Arabia",28.82
"149",350.3,"low (<400)","SEN","Senegal",23.02
"150",473.5,"medium (400-600)","SRB","Serbia",26.26
"151",399.7,"low (<400)","SYC","Seychelles",26.96
"152",381.8,"low (<400)","SLE","Sierra Leone",22.75
"153",278.7,"low (<400)","SGP","Singapore",23.77
"154",668.4,"high (>600)","SVK","Slovakia",26.64
"155",718.2,"high (>600)","SVN","Slovenia",26.76
"156",373.1,"low (<400)","SLB","Solomon Islands",26.44
"157",310.5,"low (<400)","SOM","Somalia",23.26
"158",376.5,"low (<400)","ZAF","South Africa",27.35
"159",264.3,"low (<400)","KOR","South Korea",23.81
"160",320.6,"low (<400)","SSD",NA,NA
"161",580.8,"medium (400-600)","ESP","Spain",26.05
"162",383.7,"low (<400)","LKA","Sri Lanka",23.24
"163",331.9,"low (<400)","SDN","Sudan",24.71
"164",542.1,"medium (400-600)","SUR","Suriname",26.71
"165",348.8,"low (<400)","SWZ","Swaziland",26.91
"166",806.1,"high (>600)","SWE","Sweden",26.16
